year,year2,Institution/Event
2022,2022,"Symposium Ecology of Insects, ESA Meeting"
2022,,"Florida International University, Department of Earth & Environment"
2021,2021,"Career Panel, SNRE, UF"
2021,,UF Ecology Graduate Student Group
