year,degree,program,school
2001,Ph.D.,Population Biology,Univ. of California-Davis
1995,M.S.,Biology,Univ. of California-San Diego
1994,B.S.,"Ecology "",""Behavior"",""  & Evolution","Revelle College"",""Univ. of California-San Diego"
